phone,source,label,block,confidence
74951234567,qa,QA test Moscow,false,95
78005553535,qa,QA toll-free,false,95
79001234567,qa,QA mobile,false,95
78001000000,ru_v1,Возможный мошенник,false,85
78001000001,ru_v1,Возможный мошенник,false,85
78001000002,ru_v1,Возможный мошенник,false,85
78001000003,ru_v1,Возможный мошенник,false,85
78001000004,ru_v1,Возможный мошенник,false,85
78001000005,ru_v1,Возможный мошенник,false,85
78001000006,ru_v1,Возможный мошенник,false,85
78001000007,ru_v1,Возможный мошенник,false,85
78001000008,ru_v1,Возможный мошенник,false,85
78001000009,ru_v1,Возможный мошенник,false,85
78001000010,ru_v1,Возможный мошенник,false,85
78001000011,ru_v1,Возможный мошенник,false,85
78001000012,ru_v1,Возможный мошенник,false,85
78001000013,ru_v1,Возможный мошенник,false,85
78001000014,ru_v1,Возможный мошенник,false,85
78001000015,ru_v1,Возможный мошенник,false,85
78001000016,ru_v1,Возможный мошенник,false,85
78001000017,ru_v1,Возможный мошенник,false,85
78001000018,ru_v1,Возможный мошенник,false,85
78001000019,ru_v1,Возможный мошенник,false,85
78001000020,ru_v1,Возможный мошенник,false,85
78001000021,ru_v1,Возможный мошенник,false,85
78001000022,ru_v1,Возможный мошенник,false,85
78001000023,ru_v1,Возможный мошенник,false,85
78001000024,ru_v1,Возможный мошенник,false,85
78001000025,ru_v1,Возможный мошенник,false,85
78001000026,ru_v1,Возможный мошенник,false,85
78001000027,ru_v1,Возможный мошенник,false,85
78001000028,ru_v1,Возможный мошенник,false,85
78001000029,ru_v1,Возможный мошенник,false,85
78001000030,ru_v1,Возможный мошенник,false,85
78001000031,ru_v1,Возможный мошенник,false,85
78001000032,ru_v1,Возможный мошенник,false,85
78001000033,ru_v1,Возможный мошенник,false,85
78001000034,ru_v1,Возможный мошенник,false,85
78001000035,ru_v1,Возможный мошенник,false,85
78001000036,ru_v1,Возможный мошенник,false,85
78001000037,ru_v1,Возможный мошенник,false,85
78001000038,ru_v1,Возможный мошенник,false,85
78001000039,ru_v1,Возможный мошенник,false,85
74951000000,ru_v1,Подозрительный номер,false,82
74951000001,ru_v1,Подозрительный номер,false,82
74951000002,ru_v1,Подозрительный номер,false,82
74951000003,ru_v1,Подозрительный номер,false,82
74951000004,ru_v1,Подозрительный номер,false,82
74951000005,ru_v1,Подозрительный номер,false,82
74951000006,ru_v1,Подозрительный номер,false,82
74951000007,ru_v1,Подозрительный номер,false,82
74951000008,ru_v1,Подозрительный номер,false,82
74951000009,ru_v1,Подозрительный номер,false,82
74951000010,ru_v1,Подозрительный номер,false,82
74951000011,ru_v1,Подозрительный номер,false,82
74951000012,ru_v1,Подозрительный номер,false,82
74951000013,ru_v1,Подозрительный номер,false,82
74951000014,ru_v1,Подозрительный номер,false,82
74951000015,ru_v1,Подозрительный номер,false,82
74951000016,ru_v1,Подозрительный номер,false,82
74951000017,ru_v1,Подозрительный номер,false,82
74951000018,ru_v1,Подозрительный номер,false,82
74951000019,ru_v1,Подозрительный номер,false,82
74951000020,ru_v1,Подозрительный номер,false,82
74951000021,ru_v1,Подозрительный номер,false,82
74951000022,ru_v1,Подозрительный номер,false,82
74951000023,ru_v1,Подозрительный номер,false,82
74951000024,ru_v1,Подозрительный номер,false,82
74951000025,ru_v1,Подозрительный номер,false,82
74951000026,ru_v1,Подозрительный номер,false,82
74951000027,ru_v1,Подозрительный номер,false,82
74951000028,ru_v1,Подозрительный номер,false,82
74951000029,ru_v1,Подозрительный номер,false,82
79900000000,ru_v1,Возможный мошенник,false,88
79900000001,ru_v1,Возможный мошенник,false,88
79900000002,ru_v1,Возможный мошенник,false,88
79900000003,ru_v1,Возможный мошенник,false,88
79900000004,ru_v1,Возможный мошенник,false,88
79900000005,ru_v1,Возможный мошенник,false,88
79900000006,ru_v1,Возможный мошенник,false,88
79900000007,ru_v1,Возможный мошенник,false,88
79900000008,ru_v1,Возможный мошенник,false,88
79900000009,ru_v1,Возможный мошенник,false,88
79900000010,ru_v1,Возможный мошенник,false,88
79900000011,ru_v1,Возможный мошенник,false,88
79900000012,ru_v1,Возможный мошенник,false,88
79900000013,ru_v1,Возможный мошенник,false,88
79900000014,ru_v1,Возможный мошенник,false,88
79900000015,ru_v1,Возможный мошенник,false,88
79900000016,ru_v1,Возможный мошенник,false,88
79900000017,ru_v1,Возможный мошенник,false,88
79900000018,ru_v1,Возможный мошенник,false,88
79900000019,ru_v1,Возможный мошенник,false,88
79900000020,ru_v1,Возможный мошенник,false,88
79900000021,ru_v1,Возможный мошенник,false,88
79900000022,ru_v1,Возможный мошенник,false,88
79900000023,ru_v1,Возможный мошенник,false,88
79900000024,ru_v1,Возможный мошенник,false,88
79900000025,ru_v1,Возможный мошенник,false,88
79900000026,ru_v1,Возможный мошенник,false,88
79900000027,ru_v1,Возможный мошенник,false,88
79900000028,ru_v1,Возможный мошенник,false,88
79900000029,ru_v1,Возможный мошенник,false,88
79900000030,ru_v1,Возможный мошенник,false,88
79900000031,ru_v1,Возможный мошенник,false,88
79900000032,ru_v1,Возможный мошенник,false,88
79900000033,ru_v1,Возможный мошенник,false,88
79900000034,ru_v1,Возможный мошенник,false,88
79900000035,ru_v1,Возможный мошенник,false,88
79900000036,ru_v1,Возможный мошенник,false,88
79900000037,ru_v1,Возможный мошенник,false,88
79900000038,ru_v1,Возможный мошенник,false,88
79900000039,ru_v1,Возможный мошенник,false,88
