[2026-03-31 00:56:43] autofinalize started
[2026-03-31 00:56:43] tracking samples file: docs/release/soak/soak-20260330_172810.samples.jsonl
[2026-03-31 00:56:43] progress: samples=27, hours=7.46, now<due=True
[2026-03-31 01:01:43] progress: samples=28, hours=7.54, now<due=True
[2026-03-31 01:06:43] progress: samples=29, hours=7.63, now<due=True
[2026-03-31 01:11:43] progress: samples=30, hours=7.71, now<due=True
[2026-03-31 01:16:43] progress: samples=31, hours=7.79, now<due=True
[2026-03-31 01:21:45] progress: samples=32, hours=7.88, now<due=True
[2026-03-31 01:26:45] progress: samples=33, hours=7.96, now<due=True
[2026-03-31 01:31:45] progress: samples=34, hours=8.05, now<due=True
[2026-03-31 01:36:45] progress: samples=35, hours=8.13, now<due=True
[2026-03-31 01:41:45] progress: samples=36, hours=8.21, now<due=True
[2026-03-31 01:46:45] progress: samples=37, hours=8.30, now<due=True
[2026-03-31 01:51:45] progress: samples=38, hours=8.38, now<due=True
[2026-03-31 01:56:45] progress: samples=39, hours=8.46, now<due=True
[2026-03-31 02:01:45] progress: samples=40, hours=8.55, now<due=True
[2026-03-31 02:06:45] progress: samples=41, hours=8.63, now<due=True
[2026-03-31 02:11:45] progress: samples=42, hours=8.71, now<due=True
[2026-03-31 02:16:45] progress: samples=43, hours=8.80, now<due=True
[2026-03-31 02:21:45] progress: samples=44, hours=8.88, now<due=True
[2026-03-31 02:26:45] progress: samples=45, hours=8.96, now<due=True
